0	main_rome	rom_magna_graecia_bruttium	primary	minor_primary
1003	main_rome	rom_cartaginensis_edetania	primary	minor_primary
100	main_rome	rom_italia_picenum	primary	minor_primary
1011	main_rome	rom_cartaginensis_edetania	port	port
1015	main_rome	rom_cartaginensis_edetania	secondary	minor_secondary
1021	main_rome	rom_cartaginensis_bastetania	primary	major_primary
1027	main_rome	rom_cartaginensis_bastetania	port	port
1031	main_rome	rom_cartaginensis_bastetania	secondary	major_secondary
1039	main_rome	rom_cartaginensis_baleareis	primary	minor_primary
1041	main_rome	rom_cartaginensis_baleareis	port	port
1045	main_rome	rom_cartaginensis_baleareis	secondary	minor_secondary
1051	main_rome	rom_provincia_narbonensis	primary	minor_primary
1060	main_rome	rom_provincia_narbonensis	secondary	minor_secondary
1063	main_rome	rom_provincia_transalpina	primary	major_primary
106	main_rome	rom_italia_samnium	primary	minor_primary
1071	main_rome	rom_provincia_transalpina	port	port
1080	main_rome	rom_provincia_transalpina	secondary	major_secondary
1088	main_rome	rom_aquitania_aquitania	primary	major_primary
1094	main_rome	rom_aquitania_aquitania	port	port
10958	main_3c	emp_transoxania_maracanda	secondary	major_secondary
10960	main_3c	emp_transoxania_maracanda	primary	major_primary
10970	main_3c	emp_transoxania_bukhara	secondary	minor_secondary
10971	main_3c	emp_transoxania_bukhara	primary	minor_primary
10973	main_3c	emp_thracia_pulpudeva	secondary	3c_major_navalbuff
10982	main_3c	emp_thracia_pulpudeva	primary	major_primary
10985	main_3c	emp_thracia_odessos	port	port
1098	main_rome	rom_aquitania_aquitania	secondary	major_secondary
10994	main_3c	emp_thracia_odessos	secondary	minor_secondary
10998	main_3c	emp_thracia_odessos	primary	minor_primary
109	main_rome	rom_cisalpina_insubria	primary	major_primary
11008	main_3c	emp_thracia_naissos	secondary	minor_secondary
11018	main_3c	emp_thracia_naissos	primary	minor_primary
1101	main_rome	rom_aquitania_gergovia	primary	minor_primary
11024	main_3c	emp_thracia_antheia	port	port
11033	main_3c	emp_thracia_antheia	secondary	minor_secondary
11041	main_3c	emp_thracia_antheia	primary	minor_primary
11043	main_3c	emp_tarraconensis_tarraco	port	port
11049	main_3c	emp_tarraconensis_tarraco	secondary	3c_major_navalbuff
11058	main_3c	emp_tarraconensis_tarraco	primary	major_primary
11060	main_3c	emp_tarraconensis_brigantium	port	port
11066	main_3c	emp_tarraconensis_brigantium	secondary	minor_secondary
11072	main_3c	emp_tarraconensis_brigantium	primary	minor_primary
11081	main_3c	emp_tarraconensis_aracillum	secondary	minor_secondary
11084	main_3c	emp_tarraconensis_aracillum	primary	minor_primary
11085	main_3c	emp_syria_thapsacus	secondary	minor_secondary
1108	main_rome	rom_aquitania_gergovia	secondary	minor_secondary
11094	main_3c	emp_syria_thapsacus	primary	minor_primary
