att_fact_abarshahr	2041790178	att_sub_cult_eastern_sassanid	playable	Abarshahr	Abarshahric Rebels	Abarshahric	122	eastern	false	data\ui\	data\ui\flags\Abarshahr	data\ui\flags\	data\ui\flags\	165	160	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	att_est_core	att_faction_false	false	false		false	false	122	122		You are attacking Abarshahr!	You are defending against Abarshahr!		PBS_PARAMETER_UNUSED	placeholder	placeholder	placeholder	true	115	42	11	150	%n of %n Court Nobles	Support: -%n Court Nobles	Support: -%n Court Noble	Support: +%n  Court Nobles	Support: +%n  Court Noble	false	true	false	default		att_sub_cult_eastern_sassanid
att_fact_abasgia	2041790179	att_sub_cult_eastern_caucasian	playable	Abasgia	Abasgian Rebels	Abasgian	122	eastern	false	data\ui\	data\ui\flags\Abasgia	data\ui\flags\	data\ui\flags\	172	96	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	att_est_core	att_faction_false	false	false		false	false	122	122		You are attacking Abasgia!	You are defending against Abasgia!		PBS_PARAMETER_UNUSED	placeholder	placeholder	placeholder	true	119	181	89	150	%n of %n Court Nobles	Support: -%n Court Nobles	Support: -%n Court Noble	Support: +%n  Court Nobles	Support: +%n  Court Noble	false	true	false	default		att_sub_cult_eastern_caucasian
att_fact_aegyptus	2041790180	att_sub_cult_roman_east	playable	Egypt	Aegyptian Rebels	Egyptian	133	default	false	data\ui\	data\ui\flags\Aegyptus	data\ui\flags\	data\ui\flags\	163	118	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	att_rom_core	att_faction_false	false	false		false	false	133	133		You are attacking Egypt!	You are defending against Egypt!		PBS_PARAMETER_UNUSED	placeholder	placeholder	placeholder	true	22	51	7	500	%n of %n Senators	Support: -%n Senators	Support: -%n Senator	Support: +%n Senators	Support: +%n Senator	false	true	false	default		att_sub_cult_roman_east
att_fact_africa	2041790181	att_sub_cult_roman_west	playable	Africa	African Rebels	African	133	default	false	data\ui\	data\ui\flags\Africa	data\ui\flags\	data\ui\flags\	134	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	att_rom_core	att_faction_false	false	false		false	false	133	133		You are attacking Africa!	You are defending against Africa!		PBS_PARAMETER_UNUSED	placeholder	placeholder	placeholder	true	22	51	7	500	%n of %n Senators	Support: -%n Senators	Support: -%n Senator	Support: +%n Senators	Support: +%n Senator	false	true	false	default		att_sub_cult_roman_west
att_fact_afrighids	2041790182	att_sub_cult_eastern_sassanid	playable	Afrighids	Afrighid Rebels	Afrighid	122	eastern	false	data\ui\	data\ui\flags\Afrighids	data\ui\flags\	data\ui\flags\	185	170	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	att_est_core	att_faction_false	false	false		false	false	122	122		You are attacking the Afrighids!	You are defending against the Afrighids!		PBS_PARAMETER_UNUSED	placeholder	placeholder	placeholder	true	141	13	4	150	%n of %n Court Nobles	Support: -%n Court Nobles	Support: -%n Court Noble	Support: +%n  Court Nobles	Support: +%n  Court Noble	false	true	false	default		att_sub_cult_eastern_sassanid
att_fact_alamanni	2041790183	att_sub_cult_barbarian_germanic_west	playable	Alamans	Alamannic Rebels	Alamannic	92	barbarian	false	data\ui\	data\ui\flags\Alamanni	data\ui\flags\	data\ui\flags\	158	175	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	att_ger_alamans	att_faction_false	true	true		false	false	92	92		You are attacking the Alamans!	You are defending against the Alamans!		PBS_PARAMETER_UNUSED	placeholder	placeholder	placeholder	true	230	216	203	1200	%n of %n Tribal Chiefs	Support: -%n Tribal Chiefs	Support: -%n Tribal Chief	Support: +%n Tribal Chiefs	Support: +%n  Tribal Chief	true	true	false	att_mp_force_gen_alamans	att_barbarian_win	att_sub_cult_barbarian_germanic_west
att_fact_alani	2041790184	att_sub_cult_barbarian_germanic_east	playable	Alans	Alanic Rebels	Alanic	149	barbarian	false	data\ui\	data\ui\flags\Alani	data\ui\flags\	data\ui\flags\	52	61	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	att_ger_alani	att_faction_false	true	true		false	false	92	92		You are attacking the Alans!	You are defending against the Alans!		PBS_PARAMETER_UNUSED	placeholder	placeholder	placeholder	true	117	136	53	1200	%n of %n Nobles	Support: -%n Nobles	Support: -%n Noble	Support: +%n Nobles	Support: +%n Noble	true	true	false	att_mp_force_gen_alans	att_barbarian_win	att_sub_cult_barbarian_germanic_east
att_fact_anatolia	2041790597	att_sub_cult_eastern_desert	playable	Anatolia	Anatolian Rebels	Anatolian	116	eastern	false	data\ui\	data\ui\flags\Anatolia	data\ui\flags\	data\ui\flags\	137	122	130	98	154	190	25	39	88	0	0	0	0	0	0	0	0	0	0	0	0	att_des_desert		false	false	0	false	false	122	122		You are attacking Anatolia!	You are defending against Anatolia!		PBS_PARAMETER_UNUSED	placeholder	placeholder	placeholder	true	0	0	0	500						false	true	false	default		att_sub_cult_eastern_desert
att_fact_angli	2041790186	att_sub_cult_barbarian_germanic_north	playable	Angles	Anglic Rebels	Anglic	158	barbarian	false	data\ui\	data\ui\flags\Angli	data\ui\flags\	data\ui\flags\	70	115	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	att_nor_core	att_faction_false	false	false		false	false	158	158		You are attacking the Angles!	You are defending against the Angles!		PBS_PARAMETER_UNUSED	placeholder	placeholder	placeholder	true	157	192	111	1200	%n of %n Tribal Chiefs	Support: -%n Tribal Chiefs	Support: -%n Tribal Chief	Support: +%n Tribal Chiefs	Support: +%n  Tribal Chief	true	true	false	default		att_sub_cult_barbarian_germanic_north
att_fact_antes	2041790187	att_sub_cult_barbarian_germanic_east	playable	Anteans	Antean Rebels	Antean	265	barbarian	false	data\ui\	data\ui\flags\Antes	data\ui\flags\	data\ui\flags\	119	152	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	att_slav_ante	att_faction_false	true	true		false	false	92	92		You are attacking the Anteans!	You are defending against the Anteans!		PBS_PARAMETER_UNUSED	placeholder	placeholder	placeholder	true	83	116	67	1200	%n of %n Tribal Chiefs	Support: -%n Tribal Chiefs	Support: -%n Tribal Chief	Support: +%n Tribal Chiefs	Support: +%n  Tribal Chief	true	true	false	default	att_barbarian_win	att_sub_cult_barbarian_germanic_east
